id,nome,indirizzo,lat,lng,note
sr-mi,SR Elettrotecnica,Milano (MI),45.575,8.925,Prov. Milano (MI) | Installazione + manutenzione + pulizia | Tel: 351 3729093 | Email: info@srelettrotecnica.it | Tel+email verificati | https://www.srelettrotecnica.it
zdm-mi,Zd Mechatronics S.r.l.,Milano (MI),45.5374,9.4028,Prov. Milano (MI) | Elettronica/automazioni; FV: accumulo + DiCo (FV NON core; pulizia non dichiarata) | Tel: 02 95746283 | Email: (form sito) | Tel verificato; email via form | https://www.zdmechatronics.it
pet-mi,Petalo S.r.l.,Milano (MI),45.679,9.387,Prov. Milano (MI) | Installazione FV + solare termico + monitoraggio + manutenzione + lavaggio pannelli (sede Osnago LC; opera nel Magentino) | Tel: 039 2262423 | Email: info@petalo.net | Tel+email verificati | https://www.petalo.net
int-mi,Intech Group S.r.l.,Milano (MI),45.5486,8.8735,Prov. Milano (MI) | Installazione + manutenzione impianti elettrici/FV/riscaldamento/videosorveglianza (pulizia da confermare) | Tel: 0331 561021 | Email: a.bottini@intechgroup.eu | Tel+email verificati | https://www.intechgroup.eu
emv-mi,EMV Group,Milano (MI),45.571,9.027,Prov. Milano (MI) | Impianti tecnologici: FV (prog./posa/collaudo/riparazione) + elettrico + termoidraulico + antincendio (pulizia da confermare) | Tel: 02 93571759 | Email: (form sito) | Tel verificato; email via form | https://www.emvgroup.eu
dav-mi,Tecnoelettrica Bragoni,Milano (MI),45.469,8.917,Prov. Milano (MI) | Installazione FV + storage + pratiche GSE/Portale Produttori Enel + test CEI 0-21 (pulizia da confermare); Corbetta. Sostituisce Davom | Tel: 02 9243936 | Email: (pagina contatti sito) | Tel verificato; email via sito | https://www.bragoni.com
krk-bg,KRK Energy Service S.r.l.,Bergamo (BG),45.575,9.768,Prov. Bergamo (BG) | Installazione + manutenzione + pulizia + termografia | Tel: 0363 1591034 | Email: info@krkenergyservice.com | Tel+email verificati | https://www.krkenergyservice.com
sr-bg,SR Elettrotecnica,Bergamo (BG),45.575,8.925,Prov. Bergamo (BG) | Installazione + manutenzione + pulizia | Tel: 351 3729093 | Email: info@srelettrotecnica.it | Tel+email verificati | https://www.srelettrotecnica.it
et-bg,Energy Team S.r.l.,Bergamo (BG),45.611,8.849,Prov. Bergamo (BG) | Installazione + manutenzione + pulizia | Tel: 0331 324959 | Email: (modulo sito) | Tel verificato; email da sito | https://www.energyteamimpianti.com
er-bg,Elettrica Rogeno S.r.l.,Bergamo (BG),45.787,9.27,Prov. Bergamo (BG) | Installazione FV + accumulo + verifiche/manutenzione (pulizia da confermare; dal 1999) | Tel: 031 876147 | Email: info@elettricarogeno.it | Tel+email verificati | https://www.elettricarogeno.it
krk-mb,KRK Energy Service S.r.l.,Monza e Brianza (MB),45.575,9.768,Prov. Monza e Brianza (MB) | Installazione + manutenzione + pulizia + termografia | Tel: 0363 1591034 | Email: info@krkenergyservice.com | Tel+email verificati | https://www.krkenergyservice.com
er-mb,Elettrica Rogeno S.r.l.,Monza e Brianza (MB),45.787,9.27,Prov. Monza e Brianza (MB) | Installazione FV + accumulo + verifiche/manutenzione (pulizia da confermare; dal 1999) | Tel: 031 876147 | Email: info@elettricarogeno.it | Tel+email verificati | https://www.elettricarogeno.it
sr-mb,SR Elettrotecnica,Monza e Brianza (MB),45.575,8.925,Prov. Monza e Brianza (MB) | Installazione + manutenzione + pulizia | Tel: 351 3729093 | Email: info@srelettrotecnica.it | Tel+email verificati | https://www.srelettrotecnica.it
et-mb,Energy Team S.r.l.,Monza e Brianza (MB),45.611,8.849,Prov. Monza e Brianza (MB) | Installazione + manutenzione + pulizia | Tel: 0331 324959 | Email: (modulo sito) | Tel verificato; email da sito | https://www.energyteamimpianti.com
mg-pd,MG Impianti S.r.l.,Padova (PD),45.388,12.012,Prov. Padova (PD) | Installazione + O&M (pulizia da confermare) | Tel: 049 9790651 | Email: (modulo sito) | Tel verificato; email da sito | https://mgimpianti.net
ven-pd,Veneco,Padova (PD),45.41,11.88,Prov. Padova (PD) | Installazione + manutenzione/assistenza (pulizia da confermare) | Tel: 049 2276410 | Email: info@veneco.it | Tel+email verificati | https://veneco.it
mun-pd,Munari Group S.r.l.,Padova (PD),45.41,11.85,Prov. Padova (PD) | Installazione + manutenzione (pulizia da confermare) | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://www.munarigroup.it
zr-pd,ZR di Zannin Renato S.r.l.,Padova (PD),45.4,12.0,Prov. Padova (PD) | Installazione + manutenzione (pulizia da confermare) | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://www.zrimpianti.it
mg-vi,MG Impianti S.r.l.,Vicenza (VI),45.388,12.012,Prov. Vicenza (VI) | Installazione + O&M (pulizia da confermare) | Tel: 049 9790651 | Email: (modulo sito) | Tel verificato; email da sito | https://mgimpianti.net
ven-vi,Veneco,Vicenza (VI),45.41,11.88,Prov. Vicenza (VI) | Installazione + manutenzione/assistenza (pulizia da confermare) | Tel: 049 2276410 | Email: info@veneco.it | Tel+email verificati | https://veneco.it
mun-vi,Munari Group S.r.l.,Vicenza (VI),45.41,11.85,Prov. Vicenza (VI) | Installazione + manutenzione (pulizia da confermare) | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://www.munarigroup.it
zr-vi,ZR di Zannin Renato S.r.l.,Vicenza (VI),45.4,12.0,Prov. Vicenza (VI) | Installazione + manutenzione (pulizia da confermare) | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://www.zrimpianti.it
mg-ve,MG Impianti S.r.l.,Venezia (VE),45.388,12.012,Prov. Venezia (VE) | Installazione + O&M (pulizia da confermare) | Tel: 049 9790651 | Email: (modulo sito) | Tel verificato; email da sito | https://mgimpianti.net
ven-ve,Veneco,Venezia (VE),45.41,11.88,Prov. Venezia (VE) | Installazione + manutenzione/assistenza (pulizia da confermare) | Tel: 049 2276410 | Email: info@veneco.it | Tel+email verificati | https://veneco.it
zr-ve,ZR di Zannin Renato S.r.l.,Venezia (VE),45.4,12.0,Prov. Venezia (VE) | Installazione + manutenzione (pulizia da confermare) | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://www.zrimpianti.it
mun-ve,Munari Group S.r.l.,Venezia (VE),45.41,11.85,Prov. Venezia (VE) | Installazione + manutenzione (pulizia da confermare) | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://www.munarigroup.it
mg-tv,MG Impianti S.r.l.,Treviso (TV),45.388,12.012,Prov. Treviso (TV) | Installazione + O&M (pulizia da confermare) | Tel: 049 9790651 | Email: (modulo sito) | Tel verificato; email da sito | https://mgimpianti.net
ven-tv,Veneco,Treviso (TV),45.41,11.88,Prov. Treviso (TV) | Installazione + manutenzione/assistenza (pulizia da confermare) | Tel: 049 2276410 | Email: info@veneco.it | Tel+email verificati | https://veneco.it
zr-tv,ZR di Zannin Renato S.r.l.,Treviso (TV),45.4,12.0,Prov. Treviso (TV) | Installazione + manutenzione (pulizia da confermare) | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://www.zrimpianti.it
mun-tv,Munari Group S.r.l.,Treviso (TV),45.41,11.85,Prov. Treviso (TV) | Installazione + manutenzione (pulizia da confermare) | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://www.munarigroup.it
gt-bo,Greentech Impianti S.r.l.,Bologna (BO),44.58,11.233,Prov. Bologna (BO) | Installazione FV industriale + O&M + lavaggio moduli | Tel: 051 6814567 | Email: info@greentechimpianti.com | Tel+email verificati | https://www.greentechimpianti.com
cor-bo,Corna Impianti S.r.l.,Bologna (BO),44.4949,11.3426,Prov. Bologna (BO) | Installazione + manutenzione + lavaggio + taratura SPI | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://cornaimpianti.it
fin-bo,Fineagroup,Bologna (BO),44.5,11.34,Prov. Bologna (BO) | Installazione + manutenzione (pulizia da confermare) | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://www.fineagroup.it
chi-bo,Chiarini e Ferrari IT S.r.l.,Bologna (BO),44.49,11.34,Prov. Bologna (BO) | Installazione + manutenzione (pulizia da confermare); cert. CSQ | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://www.impianti-elettrici-fotovoltaici.it
azz-vc,Azzoni Impianti (AM Elettronica),Vercelli (VC),45.186,8.101,Prov. Vercelli (VC) | Installazione + manutenzione + pulizia + verifiche (anche impianti esistenti) | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://www.azzoniimpianti.it
er-vc,Elettrica Rogeno S.r.l.,Vercelli (VC),45.787,9.27,Prov. Vercelli (VC) | Installazione FV + accumulo + verifiche/manutenzione (pulizia da confermare; dal 1999) | Tel: 031 876147 | Email: info@elettricarogeno.it | Tel+email verificati | https://www.elettricarogeno.it
eni-vc,Energie Italiane,Vercelli (VC),45.321,8.418,Prov. Vercelli (VC) | Installazione + manutenzione + pulizia | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://www.energieitaliane.info
val-vc,Valoresolare,Vercelli (VC),45.3215,8.4185,Prov. Vercelli (VC) | Installazione + manutenzione (pulizia da confermare) | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://www.valoresolare.it
pc-gr,Punto Clima,Grosseto (GR),42.763,11.113,Prov. Grosseto (GR) | Installazione/assistenza + manutenzione + pulizia | Tel: 0564 24716 | Email: info@puntoclimagr.it | Tel+email verificati | https://www.puntoclimagr.it
eig-gr,Energy Impianti (Salutari),Grosseto (GR),42.7635,11.1135,Prov. Grosseto (GR) | Installazione + manutenzione + pulizia | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://energyimpiantigrosseto.it
nsg-gr,New Service Group,Grosseto (GR),42.7625,11.1125,Prov. Grosseto (GR) | Installazione + manutenzione + pulizia | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://nsgroup.it
fbc-gr,FBC Italia,Grosseto (GR),42.764,11.114,Prov. Grosseto (GR) | Installazione + manutenzione (pulizia da confermare) | Tel: (da sito) | Email: (da sito) | DA VERIFICARE (solo sito) | https://www.fbcitalia.it
